username,lifetime_games,lifetime_wins,lifetime_draws,lifetime_losses,elo_gain,elo_loss,elo_ratio,tourn_games,tourn_wins,tourn_draws,tourn_losses,tourn_elo_gain,tourn_elo_loss,tourn_elo_ratio,non_tourn_games,non_tourn_wins,non_tourn_draws,non_tourn_losses,non_tourn_elo_gain,non_tourn_elo_loss,non_tourn_elo_ratio,elo_ratio_gap,short_win_rate,timeout_win_ratio,tourn_win_rate,non_tourn_win_rate,wr_gap,nt_self_bail_loss_ratio,t_self_bail_loss_ratio,suspicion_score,reasons
littlerookieone,63,41,0,22,18.324736,8.036567,2.280170,45,32,0,13,13.886354,4.433464,3.132168,18,9,0,9,4.438382,3.603103,1.231822,1.900346,0.219512,0.146341,0.711111,0.500000,0.211111,0.666667,0.384615,5.70,High EloRatio 2.28 over 63 rated games | Tourn EloRatio 3.13 vs non-tourn 1.23 (gap 1.90) | High non-tournament self-bail losses 67%
avraham-el,139,110,8,21,39.506682,5.480298,7.208856,87,65,7,15,30.581665,3.716496,8.228628,52,45,1,6,8.925017,1.763802,5.060102,3.168527,0.372727,0.145455,0.812500,0.882353,-0.069853,0.000000,0.200000,5.20,High EloRatio 7.21 over 139 rated games | Tourn EloRatio 8.23 vs non-tourn 5.06 (gap 3.17) | 14 upset wins (>=250)
redanos,23,16,0,7,8.091074,1.396607,5.793377,4,4,0,0,1.741842,0.000000,1741841902.955401,19,12,0,7,6.349232,1.396607,4.546182,1741841898.409219,0.375000,0.062500,1.000000,0.631579,0.368421,0.714286,0.000000,4.50,High EloRatio 5.79 over 23 rated games | High non-tournament self-bail losses 71% | 3 upset wins (>=250)
boddanagovindarao,52,44,0,8,20.850954,3.113968,6.695943,46,39,0,7,19.112422,2.823323,6.769478,6,5,0,1,1.738532,0.290645,5.981627,0.787851,0.363636,0.068182,0.847826,0.833333,0.014493,0.000000,0.000000,4.00,High EloRatio 6.70 over 52 rated games | Active win streak 10 | 6 upset wins (>=250)
billyeatstofu,21,14,0,7,6.721502,2.776431,2.420914,2,1,0,1,0.466949,0.031520,14.814212,19,13,0,6,6.254553,2.744911,2.278600,12.535612,0.071429,0.642857,0.500000,0.684211,-0.184211,0.833333,1.000000,3.50,High EloRatio 2.42 over 21 rated games | High non-tournament self-bail losses 83%
itsartex,33,21,1,11,7.181693,3.313128,2.167647,2,2,0,0,0.789060,0.000000,789059832.349575,31,19,1,11,6.392633,3.313128,1.929486,789059830.420089,0.095238,0.476190,1.000000,0.633333,0.366667,0.818182,0.000000,3.50,High EloRatio 2.17 over 33 rated games | High non-tournament self-bail losses 82%
alexk82,298,110,13,175,55.888712,34.896050,1.601577,280,107,13,160,54.696180,30.885764,1.770919,18,3,0,15,1.192533,4.010287,0.297368,1.473550,0.254545,0.345455,0.400749,0.166667,0.234082,0.933333,0.912500,3.20,Tourn EloRatio 1.77 vs non-tourn 0.30 (gap 1.47) | 6 upset wins (>=250)
na4olean,866,305,149,412,124.998427,108.809080,1.148787,165,88,21,56,31.854589,15.230005,2.091568,701,217,128,356,93.143838,93.579075,0.995349,1.096219,0.311475,0.259016,0.611111,0.378709,0.232403,0.525281,0.767857,3.20,Tourn EloRatio 2.09 vs non-tourn 1.00 (gap 1.10) | 11 upset wins (>=250)
schachliebe123,207,81,1,125,44.495571,20.228644,2.199632,128,49,1,78,27.030934,12.538123,2.155900,79,32,0,47,17.464637,7.690522,2.270930,-0.115030,0.333333,0.135802,0.385827,0.405063,-0.019237,0.021277,0.000000,3.00,High EloRatio 2.20 over 207 rated games | 12 upset wins (>=250)
sigmam8,36,33,3,0,2.847420,0.424426,6.708871,23,23,0,0,1.946503,0.000000,1946503240.367316,13,10,3,0,0.900916,0.424426,2.122670,1946503238.244646,0.060606,0.606061,1.000000,1.000000,0.000000,0.000000,0.000000,3.00,High EloRatio 6.71 over 36 rated games | Active win streak 31
