username,lifetime_games,lifetime_wins,lifetime_draws,lifetime_losses,lifetime_win_rate,recent_games,recent_wins,recent_draws,recent_losses,recent_win_rate,active_win_streak,max_win_streak,upset_wins,short_win_rate,timeout_win_ratio,tourn_games,tourn_wins,tourn_draws,tourn_losses,tourn_win_rate,non_tourn_games,non_tourn_wins,non_tourn_draws,non_tourn_losses,non_tourn_win_rate,wr_gap,suspicion_score,reasons
sigmam8,35,32,3,0,1,35,32,3,0,1,30,30,0,0.0625,0.5938,22,22,0,0,1,13,10,3,0,1,0,5.7,High lifetime WR 100% over 35 games | High recent WR 100% over 35 games | Active win streak 30 | 59% of wins via resign/timeout
marquito_777,89,83,2,4,0.954,89,83,2,4,0.954,54,54,2,0.0964,0.4578,20,15,1,4,0.7895,69,68,1,0,1,-0.2105,5,High lifetime WR 95% over 89 games | High recent WR 95% over 89 games | Active win streak 54
avraham-el,126,99,8,19,0.839,126,99,8,19,0.839,1,18,18,0.404,0.1212,75,55,7,13,0.8088,51,44,1,6,0.88,-0.0712,5,High lifetime WR 84% over 126 games | High recent WR 84% over 126 games | 18 upset wins (≥250)
boddanagovindarao,42,34,0,8,0.8095,42,34,0,8,0.8095,0,32,6,0.3529,0.0588,37,30,0,7,0.8108,5,4,0,1,0.8,0.0108,5,High lifetime WR 81% over 42 games | High recent WR 81% over 42 games | 6 upset wins (≥250)
datadane,55,52,0,3,0.9455,55,52,0,3,0.9455,17,28,0,0.1154,0.3846,50,47,0,3,0.94,5,5,0,0,1,-0.06,5,High lifetime WR 95% over 55 games | High recent WR 95% over 55 games | Active win streak 17
eduardolcampos,88,72,6,10,0.878,88,72,6,10,0.878,1,26,0,0.1111,0.5,65,52,5,8,0.8667,23,20,1,2,0.9091,-0.0424,4.7,High lifetime WR 88% over 88 games | High recent WR 88% over 88 games | 50% of wins via resign/timeout
bilousov,36,27,5,4,0.871,36,27,5,4,0.871,3,7,0,0.1481,0.6296,36,27,5,4,0.871,0,0,0,0,0,0.871,4.7,High lifetime WR 87% over 36 games | High recent WR 87% over 36 games | 63% of wins via resign/timeout
notnerdyn3rd,299,135,14,150,0.4737,299,135,14,150,0.4737,0,10,4,0.2074,0.437,82,54,4,24,0.6923,217,81,10,126,0.3913,0.301,3.2,4 upset wins (≥250) | Tournament WR 69% vs non-tournament 39% (gap 30%)
sonny344,29,23,3,3,0.8846,29,23,3,3,0.8846,9,11,0,0.1304,0.2609,14,10,2,2,0.8333,15,13,1,1,0.9286,-0.0952,3,High recent WR 88% over 29 games | Active win streak 9
boardgamemaster_phi,95,36,8,51,0.4138,95,36,8,51,0.4138,2,6,0,0.1389,0.5833,30,16,4,10,0.6154,65,20,4,41,0.3279,0.2875,2.9,58% of wins via resign/timeout | Tournament WR 62% vs non-tournament 33% (gap 29%)
sacrificetheroooooook2025,21,16,1,4,0.8,21,16,1,4,0.8,1,7,0,0.125,0.625,21,16,1,4,0.8,0,0,0,0,0,0.8,2.7,High recent WR 80% over 21 games | 62% of wins via resign/timeout
jcf6500,19,15,1,3,0.8333,19,15,1,3,0.8333,2,5,0,0,0.6,0,0,0,0,0,19,15,1,3,0.8333,-0.8333,2.7,High recent WR 83% over 19 games | 60% of wins via resign/timeout
johno101,101,50,3,48,0.5102,101,50,3,48,0.5102,0,8,0,0.22,0.2,76,46,3,27,0.6301,25,4,0,21,0.16,0.4701,2.2,Tournament WR 63% vs non-tournament 16% (gap 47%)
bobbyfisher1973,23,17,2,4,0.8095,23,17,2,4,0.8095,6,15,0,0.0588,0.4706,19,14,1,4,0.7778,4,3,1,0,1,-0.2222,2,High recent WR 81% over 23 games
goodyprime,43,18,3,22,0.45,43,18,3,22,0.45,2,3,4,0.1111,0.6667,10,4,1,5,0.4444,33,14,2,17,0.4516,-0.0072,1.7,4 upset wins (≥250) | 67% of wins via resign/timeout
hangingmixer,139,93,10,36,0.7209,139,93,10,36,0.7209,0,32,3,0.0538,0.5591,9,3,2,4,0.4286,130,90,8,32,0.7377,-0.3091,1.7,3 upset wins (≥250) | 56% of wins via resign/timeout
knightispower,45,17,1,27,0.3864,45,17,1,27,0.3864,0,4,5,0.2353,0.5882,8,6,0,2,0.75,37,11,1,25,0.3056,0.4444,1.7,5 upset wins (≥250) | 59% of wins via resign/timeout
mahernoz,11,11,0,0,1,11,11,0,0,1,11,11,0,0.0909,0.5455,4,4,0,0,1,7,7,0,0,1,0,1.7,Active win streak 11 | 55% of wins via resign/timeout
alexk82,288,106,12,170,0.3841,288,106,12,170,0.3841,0,10,10,0.2547,0.3396,270,103,12,155,0.3992,18,3,0,15,0.1667,0.2326,1,10 upset wins (≥250)
cyndarta,160,68,3,89,0.4331,160,68,3,89,0.4331,0,10,12,0.3235,0.1471,160,68,3,89,0.4331,0,0,0,0,0,0.4331,1,12 upset wins (≥250)
grandaulf,9,9,0,0,1,9,9,0,0,1,9,9,0,0.1111,0.2222,5,5,0,0,1,4,4,0,0,1,0,1,Active win streak 9
kavin1000,17,12,0,5,0.7059,17,12,0,5,0.7059,14,14,0,0.3333,0.3333,16,12,0,4,0.75,1,0,0,1,0,0.75,1,Active win streak 14
kronik57,192,83,2,107,0.4368,192,83,2,107,0.4368,0,7,3,0.1325,0.2771,140,66,1,73,0.4748,52,17,1,34,0.3333,0.1415,1,3 upset wins (≥250)
na4olean,791,283,143,365,0.4367,791,283,143,365,0.4367,1,9,11,0.3039,0.2721,156,85,21,50,0.6296,635,198,122,315,0.386,0.2437,1,11 upset wins (≥250)
professorpika,91,39,1,51,0.4333,91,39,1,51,0.4333,0,6,7,0.2308,0.2051,46,17,0,29,0.3696,45,22,1,22,0.5,-0.1304,1,7 upset wins (≥250)
sc00pex,121,63,5,53,0.5431,121,63,5,53,0.5431,0,9,3,0.2381,0.2222,113,61,5,47,0.5648,8,2,0,6,0.25,0.3148,1,3 upset wins (≥250)
schachliebe123,191,71,1,119,0.3737,191,71,1,119,0.3737,0,6,12,0.3521,0.1127,117,44,1,72,0.3793,74,27,0,47,0.3649,0.0144,1,12 upset wins (≥250)
sunildsouza22918,210,106,2,102,0.5096,210,106,2,102,0.5096,0,10,4,0.2075,0.3019,210,106,2,102,0.5096,0,0,0,0,0,0.5096,1,4 upset wins (≥250)
wishiwasgolfing,93,53,4,36,0.5955,93,53,4,36,0.5955,0,8,4,0.0566,0.2075,2,2,0,0,1,91,51,4,36,0.5862,0.4138,1,4 upset wins (≥250)
crher700,421,255,8,158,0.6174,421,255,8,158,0.6174,2,20,5,0.2039,0.3255,155,101,4,50,0.6689,266,154,4,108,0.5878,0.0811,1,5 upset wins (≥250)
polotheo11,138,58,2,78,0.4265,138,58,2,78,0.4265,2,8,9,0.2069,0.2069,137,58,2,77,0.4296,1,0,0,1,0,0.4296,1,9 upset wins (≥250)
redanos,19,14,0,5,0.7368,19,14,0,5,0.7368,0,5,3,0.3571,0,4,4,0,0,1,15,10,0,5,0.6667,0.3333,1,3 upset wins (≥250)
