username,lifetime_games,lifetime_wins,lifetime_draws,lifetime_losses,elo_gain,elo_loss,elo_ratio,tourn_games,tourn_wins,tourn_draws,tourn_losses,tourn_elo_gain,tourn_elo_loss,tourn_elo_ratio,non_tourn_games,non_tourn_wins,non_tourn_draws,non_tourn_losses,non_tourn_elo_gain,non_tourn_elo_loss,non_tourn_elo_ratio,elo_ratio_gap,short_win_rate,timeout_win_ratio,tourn_win_rate,non_tourn_win_rate,wr_gap,suspicion_score,reasons
avraham-el,135,107,8,20,38.949005,5.468418,7.122536,83,62,7,14,30.023987,3.704616,8.104480,52,45,1,6,8.925017,1.763802,5.060102,3.044378,0.383178,0.149533,0.815789,0.882353,-0.066563,5.20,High EloRatio 7.12 over 135 rated games | Tourn EloRatio 8.10 vs non-tourn 5.06 (gap 3.04) | 20 upset wins (≥250)
littlerookieone,62,40,0,22,17.869230,8.036567,2.223490,44,31,0,13,13.430848,4.433464,3.029425,18,9,0,9,4.438382,3.603103,1.231822,1.797603,0.225000,0.150000,0.704545,0.500000,0.204545,4.20,High EloRatio 2.22 over 62 rated games | Tourn EloRatio 3.03 vs non-tourn 1.23 (gap 1.80)
sigmam8,36,33,3,0,2.847420,0.424426,6.708871,23,23,0,0,1.946503,0.000000,1946503240.367316,13,10,3,0,0.900916,0.424426,2.122670,1946503238.244646,0.060606,0.606061,1.000000,1.000000,0.000000,3.70,High EloRatio 6.71 over 36 rated games | Active win streak 31 | 61% of wins via resign/timeout
knightispower,48,19,1,28,10.332271,2.167596,4.766696,10,8,0,2,4.658657,0.049851,93.450939,38,11,1,26,5.673614,2.117744,2.679083,90.771856,0.263158,0.526316,0.800000,0.297297,0.502703,3.70,High EloRatio 4.77 over 48 rated games | 5 upset wins (≥250) | 53% of wins via resign/timeout
alexk82,297,110,13,174,55.888712,34.840137,1.604147,279,107,13,159,54.696180,30.829851,1.774131,18,3,0,15,1.192533,4.010287,0.297368,1.476762,0.254545,0.345455,0.402256,0.166667,0.235589,3.20,Tourn EloRatio 1.77 vs non-tourn 0.30 (gap 1.48) | 11 upset wins (≥250)
na4olean,845,298,146,401,121.160839,107.075591,1.131545,163,86,21,56,30.804275,15.230005,2.022604,682,212,125,345,90.356564,91.845587,0.983788,1.038817,0.308725,0.265101,0.605634,0.380610,0.225023,3.20,Tourn EloRatio 2.02 vs non-tourn 0.98 (gap 1.04) | 14 upset wins (≥250)
schachliebe123,203,78,1,124,42.096481,19.907461,2.114608,125,47,1,77,25.578021,12.216940,2.093652,78,31,0,47,16.518460,7.690522,2.147899,-0.054246,0.333333,0.115385,0.379032,0.397436,-0.018404,3.00,High EloRatio 2.11 over 203 rated games | 13 upset wins (≥250)
sonny344,30,24,3,3,6.766491,1.050390,6.441885,14,10,2,2,3.631310,0.841188,4.316883,16,14,1,1,3.135181,0.209202,14.986388,-10.669506,0.125000,0.250000,0.833333,0.933333,-0.100000,3.00,High EloRatio 6.44 over 30 rated games | Active win streak 10
boddanagovindarao,48,40,0,8,19.791075,3.113968,6.355580,42,35,0,7,18.052543,2.823323,6.394077,6,5,0,1,1.738532,0.290645,5.981627,0.412449,0.300000,0.075000,0.833333,0.833333,0.000000,3.00,High EloRatio 6.36 over 48 rated games | 6 upset wins (≥250)
marquito_777,99,93,2,4,22.155984,1.613553,13.731182,20,15,1,4,1.820722,1.613553,1.128394,79,78,1,0,20.335262,0.000000,20335261795.303490,-20335261794.175095,0.096774,0.451613,0.789474,1.000000,-0.210526,3.00,High EloRatio 13.73 over 99 rated games | Active win streak 64
redanos,23,16,0,7,8.091074,1.396607,5.793377,4,4,0,0,1.741842,0.000000,1741841902.955401,19,12,0,7,6.349232,1.396607,4.546182,1741841898.409219,0.375000,0.062500,1.000000,0.631579,0.368421,3.00,High EloRatio 5.79 over 23 rated games | 3 upset wins (≥250)
datadane,55,52,0,3,17.055804,1.303773,13.081881,50,47,0,3,16.051261,1.303773,12.311392,5,5,0,0,1.004543,0.000000,1004542591.379740,-1004542579.068348,0.115385,0.384615,0.940000,1.000000,-0.060000,3.00,High EloRatio 13.08 over 55 rated games | Active win streak 17
primeo01,86,47,1,38,21.655396,14.991901,1.444473,54,32,0,22,15.916580,8.201752,1.940632,32,15,1,16,5.738816,6.790149,0.845168,1.095464,0.148936,0.553191,0.592593,0.483871,0.108722,2.90,Tourn EloRatio 1.94 vs non-tourn 0.85 (gap 1.10) | 55% of wins via resign/timeout
billyeatstofu,20,14,0,6,6.721502,2.046186,3.284894,2,1,0,1,0.466949,0.031520,14.814212,18,13,0,5,6.254553,2.014665,3.104512,11.709700,0.071429,0.642857,0.500000,0.722222,-0.222222,2.70,High EloRatio 3.28 over 20 rated games | 64% of wins via resign/timeout
bilousov,39,29,5,5,8.437075,2.732756,3.087387,39,29,5,5,8.437075,2.732756,3.087387,0,0,0,0,0.000000,0.000000,0.000000,3.087387,0.172414,0.586207,0.852941,0.000000,0.852941,2.70,High EloRatio 3.09 over 39 rated games | 59% of wins via resign/timeout
eduardolcampos,91,75,6,10,18.901983,6.183731,3.056728,66,53,5,8,13.541400,4.869202,2.781031,25,22,1,2,5.360583,1.314529,4.077949,-1.296918,0.120000,0.520000,0.868852,0.916667,-0.047814,2.70,High EloRatio 3.06 over 91 rated games | 52% of wins via resign/timeout
jcf6500,22,15,1,6,6.217023,2.756405,2.255482,1,0,0,1,0.000000,0.497122,0.000000,21,15,1,5,6.217023,2.259284,2.751768,-2.751768,0.000000,0.600000,0.000000,0.750000,-0.750000,2.70,High EloRatio 2.26 over 22 rated games | 60% of wins via resign/timeout
johno101,103,51,4,48,21.075316,17.271167,1.220260,77,47,3,27,19.308699,12.787290,1.509991,26,4,1,21,1.766617,4.483877,0.393993,1.115998,0.215686,0.196078,0.635135,0.160000,0.475135,2.20,Tourn EloRatio 1.51 vs non-tourn 0.39 (gap 1.12)
cealoch,69,26,8,35,13.423407,11.183858,1.200248,29,14,4,11,6.769491,2.933554,2.307607,40,12,4,24,6.653916,8.250305,0.806506,1.501102,0.076923,0.384615,0.560000,0.333333,0.226667,2.20,Tourn EloRatio 2.31 vs non-tourn 0.81 (gap 1.50)
thommo711,69,51,1,17,15.137823,5.340940,2.834299,68,50,1,17,14.645018,5.340940,2.742030,1,1,0,0,0.492805,0.000000,492804918.290949,-492804915.548918,0.352941,0.019608,0.746269,1.000000,-0.253731,2.00,High EloRatio 2.83 over 69 rated games
ginja19,24,17,0,7,9.917131,3.070910,3.229379,20,14,0,6,8.927261,2.906163,3.071838,4,3,0,1,0.989869,0.164747,6.008415,-2.936577,0.352941,0.176471,0.700000,0.750000,-0.050000,2.00,High EloRatio 3.23 over 24 rated games
itsartex,32,21,1,10,7.181693,2.755816,2.606013,2,2,0,0,0.789060,0.000000,789059832.349575,30,19,1,10,6.392633,2.755816,2.319687,789059830.029888,0.095238,0.476190,1.000000,0.655172,0.344828,2.00,High EloRatio 2.61 over 32 rated games
mh0422,40,29,0,11,10.181394,5.025015,2.026142,0,0,0,0,0.000000,0.000000,0.000000,40,29,0,11,10.181394,5.025015,2.026142,-2.026142,0.206897,0.482759,0.000000,0.725000,-0.725000,2.00,High EloRatio 2.03 over 40 rated games
goodyprime,48,18,3,27,9.476495,6.992443,1.355248,10,4,1,5,2.035342,2.221554,0.916179,38,14,2,22,7.441153,4.770889,1.559699,-0.643520,0.111111,0.666667,0.444444,0.388889,0.055556,1.70,4 upset wins (≥250) | 67% of wins via resign/timeout
hangingmixer,145,93,10,42,27.724024,24.697709,1.122534,10,3,2,5,1.963682,2.164012,0.907427,135,90,8,37,25.760342,22.533697,1.143192,-0.235765,0.053763,0.559140,0.375000,0.708661,-0.333661,1.70,3 upset wins (≥250) | 56% of wins via resign/timeout
mahernoz,11,11,0,0,0.478101,0.000000,478100504.967778,4,4,0,0,0.295311,0.000000,295311455.358611,7,7,0,0,0.182789,0.000000,182789049.609167,112522405.749444,0.090909,0.545455,1.000000,1.000000,0.000000,1.70,Active win streak 11 | 55% of wins via resign/timeout
anton080963,116,8,1,3,2.412199,82.271608,0.029320,76,4,1,3,1.577424,55.295479,0.028527,40,4,0,0,0.834775,26.976129,0.030945,-0.002418,0.250000,0.500000,0.053333,0.100000,-0.046667,1.00,Active win streak 9
joao20pedro,126,67,5,54,22.725445,23.050095,0.985915,116,63,5,48,21.143823,20.981568,1.007733,10,4,0,6,1.581622,2.068527,0.764613,0.243121,0.238806,0.238806,0.567568,0.400000,0.167568,1.00,4 upset wins (≥250)
kronik57,206,88,3,115,39.347464,39.377727,0.999231,151,69,2,80,29.043232,28.834117,1.007252,55,19,1,35,10.304231,10.543610,0.977296,0.029956,0.136364,0.272727,0.463087,0.351852,0.111235,1.00,5 upset wins (≥250)
notnerdyn3rd,326,149,15,162,56.674060,46.014195,1.231665,87,57,5,25,14.133083,8.846077,1.597667,239,92,10,137,42.540977,37.168118,1.144556,0.453111,0.221477,0.436242,0.695122,0.401747,0.293375,1.00,4 upset wins (≥250)
sunildsouza22918,239,124,2,113,52.023993,37.586632,1.384109,239,124,2,113,52.023993,37.586632,1.384109,0,0,0,0,0.000000,0.000000,0.000000,1.384109,0.217742,0.370968,0.523207,0.000000,0.523207,1.00,4 upset wins (≥250)
